"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1017733","Air Chief Marshal S Dalton","OF-9","Chief of the Air Staff","CAS is the professional head of the Royal Air Force.  He is responsible for generating a balanced and integrated Royal Air Force capability, and for maintaining the fighting effectiveness and morale of the Service.  He reports to the Chief of the Defence (CDS).  He is a member of the Defence Council and the Air Force Board, the Defence Ministerial Committee, the Defence Board, the Chiefs of Staff Committee and the Senior Appointments Committee.  He chairs the Air Force Board Standing Committee.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","xx","564536","1","160000","164999","","Military","","1"
"1018042","Air Vice Marshal B North","OF-7","Assistant Chief of the Air Staff","Assisting the Chief of the Air Staff in generating a balanced and integrated Royal Air Force capability and for maintaining the fighting effectiveness and morale of the Service including the development of policy.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1017733","262772","1","100000","104999","","Military","","1"
"1617513","Air Marshal R Garwood","OF-8","Deputy Commander Operations","DCom Ops is the RAF’s senior warfighter, and is responsible for generating the RAF’s contribution to Operations both at home and overseas.  Commanding AOCs No 1 and No 2 Gps, and acting as CAS’s deputy, he is also in charge of the routine HQ operation on a day to day basis.  DCom Ops’ intent is to enable the RAF to Force Generate agile, interoperable and capable war fighters who understand and deliver Air Power in order to meet the challenges of our standing and contingency commitments","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1017733","511342","1","120000","124999","","Military","","1"
"1071229","Air Marshal Pulford","OF-8","Deputy Commander Capability and Air Member for Personnel and Capability - DCOM CAP/AMP & C","The role of DCom Cap is to provide sufficient personnel to meet the trained manpower requirement of the RAF, to ensure those personnel are trained to be capable of carrying out the tasks demanded of them, and that they are provided with the right support such that they are motivated to repeatedly and willingly deliver operational effect.  As Chair of the Air Force Capability Group, DCom Cap is also responsible for the efficient and effective development of capability for Air.  In his dual role as AMP, he provides the policies, strategies and personnel management advice to CAS to ensure that the RAF vision is deliverable now and in the longer term.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1017733","114390","1","120000","124999","","Military","","1"
"1637646","N/D","OF-6","Assistant Chief of Staff Media and Communications","Media and Communications is responsible for deployed Media Operations and Media Strategy and Public Relations, to internal and external public audiences. Media and Communications.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1073288","1775177","1","N/A","","","Military","","1"
"1071831","N/D","OF-7","Chaplain-in-Chief","The Mission of the Royal Air Force Chaplains' Branch is to serve the Royal Air Force through Prayer, Presence and Proclamation.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","3479431","1","100000","104999","","Military","","1"
"1071246","Air Vice Marshal A Mozumder","OF-7","Chief of Staff Health/DGMS","To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","53225","1","100000","104999","","Military","","1"
"1071292","N/D","OF-6","Assistant Chief of Staff Health","To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071246","13853721","1","N/A","","","Military","","1"
"1071252","N/D","OF-6","Assistant Chief of Staff Medical","To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071246","5151498","1","N/A","","","Military","","1"
"1071779","Air Vice Marshal Irvine","OF-7","Director Legal Services","To deliver high quality, effective and operationally focused legal services to the RAF and Defence.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","0","1","100000","104999","","Military","","1"
